date,close,volume,open,high,low
9/19/2018,22.1,"142,544",22.2,22.42,22
9/18/2018,22.1,140735,22.15,22.42,22
9/17/2018,22.16,54893,22.43,22.565,22.15
9/14/2018,22.43,59536,22.29,22.56,22.23
9/13/2018,22.29,61342,22.43,22.67,22.25
9/12/2018,22.4,102361,22.53,22.68,22.15
9/11/2018,22.58,108116,22.31,22.63,22.2
9/10/2018,22.37,89903,22.75,22.8,22.19
9/7/2018,22.65,104034,22.37,22.77,22.23
9/6/2018,22.4,87539,22.46,22.46,22.2676
9/5/2018,22.38,95571,22.35,22.48,22.25
9/4/2018,22.42,61743,22.71,22.8,22.37
8/31/2018,22.77,77805,22.88,23.07,22.65
8/30/2018,22.94,113680,23.18,23.18,22.89
8/29/2018,23.17,42226,23.32,23.5022,23.095
8/28/2018,23.39,50134,23.66,23.68,23.25
8/27/2018,23.66,141467,23.19,23.79,23.1
8/24/2018,23.22,84262,23.26,23.36,23.17
8/23/2018,23.24,98161,23.35,23.38,23.11
8/22/2018,23.38,120172,23.9,24.09,23.35
8/21/2018,23.97,78018,23.79,24.07,23.67
8/20/2018,23.55,79898,23.38,23.61,22.99
8/17/2018,23.4,59312,23.45,23.635,23.31
8/16/2018,23.5,84378,23.23,23.665,23.23
8/15/2018,23.15,77089,22.93,23.27,22.885
8/14/2018,23.02,72217,23.18,23.35,22.93
8/13/2018,23.25,108417,23.32,23.56,23.09
8/10/2018,23.54,28425,23.48,23.78,23.43
8/9/2018,23.64,65546,24.03,24.19,23.6
8/8/2018,23.99,89736,24.16,24.3,23.96
8/7/2018,24.28,73442,24.25,24.47,24.02
8/6/2018,24.25,86777,23.64,24.325,23.59
8/3/2018,23.49,116169,23.78,23.85,23.34
8/2/2018,23.71,123996,23.77,24.075,23.29
8/1/2018,23.92,191937,23.64,24.335,22.16
7/31/2018,24.99,143718,24.09,25.05,24.09
7/30/2018,24.09,73277,24.25,24.6,24.02
7/27/2018,24.32,51069,24.72,24.8,24.3
7/26/2018,24.63,66028,24.57,24.73,24.3
7/25/2018,24.54,45596,24.8,24.94,24.38
7/24/2018,24.81,43162,24.9,24.95,24.715
7/23/2018,24.92,49469,24.73,24.96,24.73
7/20/2018,24.73,78732,24.7,24.99,24.7
7/19/2018,24.75,49617,24.78,24.86,24.59
7/18/2018,24.78,49210,24.96,25,24.53
7/17/2018,24.95,58611,24.92,25,24.81
7/16/2018,24.92,49112,25.05,25.13,24.81
7/13/2018,25.02,55733,24.97,25.29,24.915
7/12/2018,24.97,35244,24.88,24.98,24.66
7/11/2018,24.84,81868,24.75,25.07,24.75
7/10/2018,24.83,107248,24.95,25.099,24.78
7/9/2018,24.95,92292,24.95,25.23,24.825
7/6/2018,24.79,51499,24.98,25.03,24.7
7/5/2018,24.9,58982,24.85,24.96,24.69
7/3/2018,24.83,50852,24.8,25.01,24.7
7/2/2018,24.67,61095,24.32,24.74,24.32
6/29/2018,24.55,95297,24.74,24.83,24.45
6/28/2018,24.7,84529,25.02,25.05,24.65
6/27/2018,25.04,71363,24.8,25.11,24.59
6/26/2018,24.79,55405,24.58,24.88,24.385
6/25/2018,24.66,76484,24.56,24.74,24.41
